,name,latitud,longitud
0,Aeroporto de São Paulo / Congonhas (CGH) (Aeroporto de São Paulo / Congonhas),-23.625776751757023,-46.66005536601972
1,Decolando em Congonhas,-23.618007434470776,-46.66273793733846
2,Avianca Brasil (Praça da República),-23.54310991508893,-46.64352357387543
3,Aeroporto de São Paulo / Congonhas (CGH) (Aeroporto de São Paulo / Congonhas),-23.625776751757023,-46.66005536601972
4,Avianca Brasil (Praça da República),-23.54310991508893,-46.64352357387543
5,Avianca Brasil (Praça da República),-23.54310991508893,-46.64352357387543
6,Positivo Airlines - UP,-25.434337,-49.288508
7,Avianca Brasil (Praça da República),-23.54310991508893,-46.64352357387543
8,Decolando em Congonhas,-23.618007434470776,-46.66273793733846
9,Decolando em Congonhas,-23.618007434470776,-46.66273793733846
10,Audi Airport Service,-23.627522,-46.661182
11,Aeroporto de São Paulo / Congonhas (CGH) (Aeroporto de São Paulo / Congonhas),-23.625776751757023,-46.66005536601972
