,name,latitud,longitud
0,Bar do Juarez,-23.590129772570528,-46.68053224357658
1,Verissimo Bar,-23.608190651743776,-46.6926208025054
2,Bar dos Arcos,-23.545891864660305,-46.63884846605377
3,Pirajá,-23.624078993616116,-46.69920735043216
4,Bar dos Arcos,-23.545891864660305,-46.63884846605377
5,Bar dos Arcos,-23.545891864660305,-46.63884846605377
6,BarBaran,-25.43110522541684,-49.28160243565641
7,Bar dos Arcos,-23.545891864660305,-46.63884846605377
8,Tatu Bola,-23.595361066738544,-46.68912713623256
9,Bar Astor,-23.590783057246327,-46.69019270555952
10,Vaca Véia,-23.582233,-46.679454
11,Bar do Celso,-23.602081410689436,-46.683298425486804
